Date,TIME,Team A,Goals Scored TA,v,Goals Scored TB,Team B,Match,Tournament,Team A P1,Team A P2,Team A P3,Team A P4,SUB Team A,Team B P1,Team B P2,Team B P3,Team B P4,SUB Team B,
5/19/21,11:00,Great Oaks LL,10,v,11,Monterosso,L,POW,Dillon Bacon 2,Bartolome Castagnola Jr. 9,Guillermo Terrera 7,Cruz Heguy 4,,Alessandro Bazzoni 1,Ignacio Toccalino 8,David Stirling 9,Mackenzie Weisz 4,,
5/20/21,11:00,Park Place,12,v,11,White Crane,L,POW,Juan Britos 8,Facundo Pieres 10,Andrey Borodin 0,Will Harper 4,,Nicolas Pieres 9,James Harper 7,Jasmine Calvert-Ansari 0,Andrew Blake-Thomas 4,,
5/20/21,15:00,King Power,10,v,11,Emlor,L,POW,Hilario Ulloa 10,Francisco Elizalde 8,Hugo Lewis 3,Aiyawatt Srivaddhanaprabha 1,,Max Charlton 6,Alfredo Bigatti 8,Spencer McCarthy 1,Agustín Merlos 7,,
5/21/21,11:00,Talandracas,7,v,11,Murus Sanctus – La Magdeleine,L,POW,Diego Cavanagh 8,Edouard Carmignac 0,Camilo Castagnola 8,Felipe Dabas 6,,Guillermo “Sapo” Caset 9,Facundo Sola 8,Matt Perry 5,Alexandre Garese 0,,
5/21/21,15:30,Thai Polo,10,v,6,Schockemōhle,L,POW,Alejandro Muzzio 8,Rufino Bensadon 7,Ned Hine 4,Louis Hine 2,,Jack Richardson 7,Clément Delfosse 5,Santiago Tanoira 5,Patrick Maleitzke 5,,
5/22/21,11:00,Scone Polo,10,v,9,Vikings,L,POW,Adolfo Cambiaso 10,Adolfo “Poroto” Cambiaso Jr. 6,Isidro Strada 6,David Paradice 0,,Sebastian Merlos 8,Chris Mackenzie 6,Juan Martin Zubia 8,Ana Escobedo 0,,
5/23/21,12:00,Great Oaks LL,5,v,8,Talandracas,L,POW,Dillon Bacon 2,Bartolome Castagnola Jr. 9,Guillermo Terrera 7,Cruz Heguy 4,,Diego Cavanagh 8,Edouard Carmignac 0,Camilo Castagnola 8,Felipe Dabas 6,,
5/24/21,11:00,King Power,10,v,12,Thai Polo,L,POW,Hilario Ulloa 10,Francisco Elizalde 8,Hugo Lewis 3,Aiyawatt Srivaddhanaprabha 1,,Alejandro Muzzio 8,Rufino Bensadon 7,Ned Hine 4,Louis Hine 2,,
5/24/21,15:00,Monterosso,9,v,8,White Crane,L,POW,Alessandro Bazzoni 1,Ignacio Toccalino 8,David Stirling 9,Mackenzie Weisz 4,,Nicolas Pieres 9,James Harper 7,Jasmine Calvert-Ansari 0,Andrew Blake-Thomas 4,,
5/25/21,15:00,Park Place,12,v,10,Murus Sanctus – La Magdeleine,L,POW,Juan Britos 8,Facundo Pieres 10,Andrey Borodin 0,Will Harper 4,,Guillermo “Sapo” Caset 9,Facundo Sola 8,Matt Perry 5,Alexandre Garese 0,,
